Year,DayOfWeek,Shift,Country,State,Local,Industry Sector,Accident Severity,Potential Severity,Accident Type,Gender,Age,Employee Type,Critical Risk,Damage Index,Hour Type,Safety Gear,Month
2016,Monday,Afternoon,India,Karnataka,Karnataka_Local_6,Steel,Handicapped,Moderate,Electrical Fault,Male,46,Employee,Chemical Exposure,6941,Overtime,No,July
2018,Thursday,Afternoon,India,Assam,Assam_Local_11,Steel,Handicapped,Moderate,Structural Collapse,Male,51,Third Party,Slip/Trip,4693,Working Hours,No,March
2020,Friday,Night,India,Karnataka,Karnataka_Local_9,Pharmaceuticals,Handicapped,Moderate,Machinery Accident,Male,33,Outsider,Slip/Trip,2647,Overtime,No,July
2018,Saturday,Night,India,Andhra Pradesh,Andhra Pradesh_Local_9,Cement,Severe Injury,High,Chemical Spill,Male,52,Employee,Chemical Exposure,4742,Overtime,No,October
2016,Wednesday,Night,India,Madhya Pradesh,Madhya Pradesh_Local_1,Steel,Severe Injury,High,Fire,Male,37,Third Party,Manual Tools,8656,Working Hours,No,April
2015,Saturday,Night,India,Assam,Assam_Local_5,Mining,Handicapped,Moderate,Slips/Trips,Female,30,Outsider,Manual Tools,5472,Overtime,No,March
2015,Tuesday,Afternoon,India,Haryana,Haryana_Local_4,Electronics,Minor Injury,Low,Machinery Accident,Male,29,Outsider,Fall from Height,5339,Working Hours,Yes,March
2015,Sunday,Night,India,Karnataka,Karnataka_Local_12,Steel,Handicapped,Moderate,Structural Collapse,Female,53,Third Party,Heavy Machinery,4234,Overtime,No,September
2018,Friday,Morning,India,Punjab,Punjab_Local_5,Automobiles,Severe Injury,High,Manual Handling,Male,46,Outsider,Gas Leak,9112,Overtime,No,August
2016,Thursday,Morning,India,Karnataka,Karnataka_Local_2,Electronics,Severe Injury,High,Manual Handling,Female,34,Outsider,Electric Shock,5672,Overtime,No,May
2020,Friday,Morning,India,Bihar,Bihar_Local_5,Steel,Minor Injury,Low,Manual Handling,Female,32,Employee,Fire/Explosion,4456,Working Hours,No,October
2018,Monday,Afternoon,India,Maharashtra,Maharashtra_Local_6,Electronics,Minor Injury,Low,Manual Handling,Female,26,Third Party,Gas Leak,6629,Working Hours,No,December
2020,Monday,Afternoon,India,Uttar Pradesh,Uttar Pradesh_Local_6,Automobiles,Severe Injury,High,Electrical Fault,Male,26,Employee,Gas Leak,481,Working Hours,Yes,June
2019,Saturday,Afternoon,India,West Bengal,West Bengal_Local_3,Pharmaceuticals,Minor Injury,Low,Machinery Accident,Female,29,Outsider,Fall from Height,3075,Overtime,No,November
2017,Saturday,Morning,India,Maharashtra,Maharashtra_Local_12,Cement,Minor Injury,Low,Manual Handling,Female,41,Third Party,Slip/Trip,7923,Working Hours,No,December
2020,Tuesday,Night,India,Chhattisgarh,Chhattisgarh_Local_8,Fertilizers,Minor Injury,Low,Chemical Spill,Female,29,Employee,Fall from Height,7333,Working Hours,Yes,November
2015,Thursday,Night,India,Assam,Assam_Local_9,Steel,Fatal,High,Electrical Fault,Male,27,Outsider,Fire/Explosion,3314,Working Hours,No,June
2018,Monday,Night,India,Assam,Assam_Local_3,Steel,Handicapped,Moderate,Structural Collapse,Female,52,Third Party,Fall from Height,9083,Overtime,Yes,January
2017,Monday,Afternoon,India,Madhya Pradesh,Madhya Pradesh_Local_14,Automobiles,Minor Injury,Low,Electrical Fault,Male,48,Third Party,Slip/Trip,2380,Working Hours,No,December
2018,Thursday,Morning,India,Assam,Assam_Local_2,Mining,Severe Injury,High,Fall from Height,Male,56,Employee,Pressure Systems,8381,Working Hours,Yes,January
2017,Monday,Afternoon,India,Andhra Pradesh,Andhra Pradesh_Local_11,Pharmaceuticals,Severe Injury,High,Machinery Accident,Male,30,Outsider,Manual Tools,6743,Working Hours,Yes,November
2017,Friday,Night,India,Haryana,Haryana_Local_8,Cement,Severe Injury,High,Chemical Spill,Male,35,Employee,Heavy Machinery,5871,Overtime,No,December
2017,Tuesday,Night,India,Maharashtra,Maharashtra_Local_9,Petrochemicals,Handicapped,Moderate,Fire,Male,34,Outsider,Slip/Trip,6209,Working Hours,No,March
2020,Tuesday,Night,India,Karnataka,Karnataka_Local_2,Petrochemicals,Severe Injury,High,Fall from Height,Female,37,Outsider,Manual Tools,3345,Working Hours,No,April
2020,Tuesday,Afternoon,India,Tamil Nadu,Tamil Nadu_Local_15,Automobiles,Severe Injury,High,Fire,Male,50,Employee,Manual Tools,2117,Working Hours,No,December
2020,Thursday,Afternoon,India,Assam,Assam_Local_6,Textiles,Handicapped,Moderate,Fall from Height,Male,28,Third Party,Fire/Explosion,1100,Working Hours,No,February
2018,Monday,Afternoon,India,Odisha,Odisha_Local_7,Electronics,Minor Injury,Low,Machinery Accident,Male,54,Outsider,Fall from Height,2725,Working Hours,No,November
2019,Wednesday,Night,India,Karnataka,Karnataka_Local_4,Construction,Fatal,High,Explosion,Female,41,Outsider,Pressure Systems,8337,Working Hours,No,April
2019,Tuesday,Afternoon,India,Karnataka,Karnataka_Local_13,Mining,Severe Injury,High,Slips/Trips,Male,40,Outsider,Chemical Exposure,4260,Working Hours,No,June
2019,Friday,Night,India,Odisha,Odisha_Local_1,Pharmaceuticals,Severe Injury,High,Fire,Male,35,Outsider,Fire/Explosion,941,Working Hours,No,February
2020,Monday,Night,India,Maharashtra,Maharashtra_Local_5,Textiles,Severe Injury,High,Manual Handling,Female,53,Outsider,Electric Shock,9631,Overtime,No,April
2020,Sunday,Afternoon,India,Karnataka,Karnataka_Local_14,Textiles,Severe Injury,High,Chemical Spill,Male,52,Third Party,Heavy Machinery,2649,Overtime,Yes,May
2020,Friday,Afternoon,India,Haryana,Haryana_Local_1,Textiles,Handicapped,Moderate,Fire,Female,52,Outsider,Gas Leak,6500,Working Hours,No,February
2018,Thursday,Night,India,Karnataka,Karnataka_Local_8,Electronics,Fatal,High,Fall from Height,Male,50,Outsider,Manual Tools,8485,Overtime,No,May
2015,Saturday,Afternoon,India,Assam,Assam_Local_4,Steel,Handicapped,Moderate,Manual Handling,Female,40,Third Party,Gas Leak,7815,Working Hours,Yes,February
2020,Monday,Afternoon,India,Odisha,Odisha_Local_1,Automobiles,Severe Injury,High,Electrical Fault,Male,45,Third Party,Manual Tools,7167,Working Hours,Yes,June
2018,Thursday,Afternoon,India,Tamil Nadu,Tamil Nadu_Local_11,Textiles,Minor Injury,Low,Structural Collapse,Male,38,Outsider,Slip/Trip,9954,Working Hours,No,March
2017,Tuesday,Afternoon,India,Uttar Pradesh,Uttar Pradesh_Local_2,Steel,Minor Injury,Low,Manual Handling,Female,51,Third Party,Mechanical Impact,8493,Working Hours,No,August
2016,Thursday,Afternoon,India,Karnataka,Karnataka_Local_1,Steel,Severe Injury,High,Structural Collapse,Male,45,Outsider,Manual Tools,9663,Working Hours,No,June
2019,Thursday,Night,India,Rajasthan,Rajasthan_Local_7,Automobiles,Fatal,High,Electrical Fault,Female,29,Outsider,Mechanical Impact,1994,Overtime,No,June
2019,Saturday,Night,India,Chhattisgarh,Chhattisgarh_Local_10,Automobiles,Severe Injury,High,Electrical Fault,Male,25,Third Party,Slip/Trip,1524,Working Hours,No,May
2017,Wednesday,Morning,India,Odisha,Odisha_Local_12,Construction,Minor Injury,Low,Slips/Trips,Female,28,Outsider,Gas Leak,6757,Working Hours,No,December
2019,Thursday,Night,India,Tamil Nadu,Tamil Nadu_Local_2,Cement,Severe Injury,High,Chemical Spill,Female,42,Outsider,Gas Leak,9948,Working Hours,No,June
2017,Friday,Morning,India,Haryana,Haryana_Local_3,Electronics,Minor Injury,Low,Electrical Fault,Female,36,Outsider,Gas Leak,7510,Working Hours,No,April
2018,Thursday,Afternoon,India,Chhattisgarh,Chhattisgarh_Local_5,Petrochemicals,Minor Injury,Low,Explosion,Female,41,Third Party,Fall from Height,6507,Working Hours,Yes,March
2015,Thursday,Night,India,Punjab,Punjab_Local_9,Electronics,Handicapped,Moderate,Manual Handling,Male,33,Third Party,Pressure Systems,528,Overtime,No,September
